city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Mühlacker,48.95,8.8392,Germany,DE,Baden-Württemberg,,26076.0,26076.0
Heppenheim,49.6415,8.645,Germany,DE,Hesse,minor,26023.0,26023.0
Selm,51.6833,7.4833,Germany,DE,North Rhine-Westphalia,,26011.0,26011.0
Weiterstadt,49.9,8.6,Germany,DE,Hesse,,25975.0,25975.0
Pfaffenhofen,48.5333,11.5167,Germany,DE,Bavaria,minor,25917.0,25917.0
Kulmbach,50.1,11.4333,Germany,DE,Bavaria,minor,25915.0,25915.0
Sankt Wendel,49.4667,7.1667,Germany,DE,Saarland,minor,25862.0,25862.0
Teltow,52.4022,13.2706,Germany,DE,Brandenburg,,25825.0,25825.0
Bad Honnef am Rhein,50.645,7.2269,Germany,DE,North Rhine-Westphalia,,25816.0,25816.0
Helmstedt,52.2281,11.0106,Germany,DE,Lower Saxony,minor,25728.0,25728.0
Bingen am Rhein,49.9669,7.895,Germany,DE,Rhineland-Palatinate,,25659.0,25659.0
Achern,48.6314,8.0739,Germany,DE,Baden-Württemberg,,25630.0,25630.0
Zirndorf,49.45,10.95,Germany,DE,Bavaria,,25596.0,25596.0
Roth,49.2461,11.0911,Germany,DE,Bavaria,,25593.0,25593.0
Lennestadt,51.1236,8.0681,Germany,DE,North Rhine-Westphalia,,25503.0,25503.0
Verl,51.8831,8.5167,Germany,DE,North Rhine-Westphalia,,25498.0,25498.0
Lindau,47.5458,9.6839,Germany,DE,Bavaria,,25490.0,25490.0
Lübbecke,52.3081,8.6231,Germany,DE,North Rhine-Westphalia,,25490.0,25490.0
Rinteln,52.1906,9.0814,Germany,DE,Lower Saxony,,25484.0,25484.0
Brilon,51.3956,8.5678,Germany,DE,North Rhine-Westphalia,,25417.0,25417.0
Staßfurt,51.8667,11.5667,Germany,DE,Saxony-Anhalt,,25385.0,25385.0
Zittau,50.8961,14.8072,Germany,DE,Saxony,,25381.0,25381.0
Plettenberg,51.2128,7.8715,Germany,DE,North Rhine-Westphalia,,25318.0,25318.0
Groß-Gerau,49.9214,8.4818,Germany,DE,Hesse,minor,25302.0,25302.0
Schleswig,54.5153,9.5697,Germany,DE,Schleswig-Holstein,minor,25276.0,25276.0
Geretsried,47.8667,11.4667,Germany,DE,Bavaria,,25275.0,25275.0
Rottweil,48.1681,8.6247,Germany,DE,Baden-Württemberg,minor,25274.0,25274.0
Friedrichsdorf,50.2569,8.6418,Germany,DE,Hesse,,25194.0,25194.0
Petershagen,52.3833,8.9667,Germany,DE,North Rhine-Westphalia,,25168.0,25168.0
Pfungstadt,49.8056,8.6044,Germany,DE,Hesse,,25151.0,25151.0
Harsewinkel,51.9667,8.2331,Germany,DE,North Rhine-Westphalia,,25147.0,25147.0
Wiehl,50.95,7.5333,Germany,DE,North Rhine-Westphalia,,25135.0,25135.0
Horb am Neckar,48.445,8.6911,Germany,DE,Baden-Württemberg,,25135.0,25135.0
Rudolstadt,50.7169,11.3275,Germany,DE,Thuringia,,25115.0,25115.0
Salzkotten,51.6708,8.6047,Germany,DE,North Rhine-Westphalia,,25062.0,25062.0
Norden,53.5967,7.2056,Germany,DE,Lower Saxony,,25060.0,25060.0
Weingarten,47.8078,9.6417,Germany,DE,Baden-Württemberg,,24943.0,24943.0
Obertshausen,50.0715,8.8482,Germany,DE,Hesse,,24943.0,24943.0
Idstein,50.2206,8.2692,Germany,DE,Hesse,,24897.0,24897.0
Ditzingen,48.8264,9.0667,Germany,DE,Baden-Württemberg,,24883.0,24883.0
Schmallenberg,51.1333,8.3,Germany,DE,North Rhine-Westphalia,,24869.0,24869.0
Delitzsch,51.5264,12.3425,Germany,DE,Saxony,,24868.0,24868.0
Warstein,51.45,8.3667,Germany,DE,North Rhine-Westphalia,,24842.0,24842.0
Sprockhövel,51.3614,7.244,Germany,DE,North Rhine-Westphalia,,24747.0,24747.0
Bad Oldesloe,53.8117,10.3742,Germany,DE,Schleswig-Holstein,minor,24744.0,24744.0
Olpe,51.0289,7.8514,Germany,DE,North Rhine-Westphalia,minor,24688.0,24688.0
Espelkamp,52.3772,8.6328,Germany,DE,North Rhine-Westphalia,,24685.0,24685.0
Rathenow,52.6,12.3333,Germany,DE,Brandenburg,minor,24309.0,24309.0
Senftenberg,51.5167,14.0167,Germany,DE,Brandenburg,minor,24275.0,24275.0
